model,ablation,condition,bodyuse,pair_id,cell_id,state_role,decl_order,body_order,dep_var,alt_var,target_var,control_var,role_dep_useState_form,decl_dep_first,pos_dep_first,n_tokens,decl_to_bracket_token_distance,dep_id,alt_id,target_id,control_id,logit_dep,logit_alt,logit_target,logit_control,D,LD_stateform,LD_reactive,LD_stateform_direct
llama3.2-1b,C,useEffect,both,pair_02,pair_02_C_useEffect_alt_reactive_reactive_first_both_dep_first,alt_reactive,reactive_first,dep_first,status,cap,cap,status,False,False,True,37,14,2899,11600,11600,2899,26.640625,25.640625,25.640625,26.640625,1.0,-1.0,-1.0,-1.0
llama3.2-1b,C,useEffect,both,pair_02,pair_02_C_useEffect_alt_reactive_reactive_first_both_alt_first,alt_reactive,reactive_first,alt_first,status,cap,cap,status,False,False,False,37,14,2899,11600,11600,2899,25.328125,26.421875,26.421875,25.328125,-1.09375,1.09375,1.09375,1.09375
llama3.2-1b,C,useEffect,target_only,pair_02,pair_02_C_useEffect_alt_reactive_reactive_first_target_only,alt_reactive,reactive_first,,status,cap,cap,status,False,False,,35,12,2899,11600,11600,2899,24.40625,26.375,26.375,24.40625,-1.96875,1.96875,1.96875,1.96875
llama3.2-1b,C,useEffect,control_only,pair_02,pair_02_C_useEffect_alt_reactive_reactive_first_control_only,alt_reactive,reactive_first,,status,cap,cap,status,False,False,,35,12,2899,11600,11600,2899,26.484375,22.5625,22.5625,26.484375,3.921875,-3.921875,-3.921875,-3.921875
llama3.2-1b,C,useEffect,neither,pair_02,pair_02_C_useEffect_alt_reactive_reactive_first_neither,alt_reactive,reactive_first,,status,cap,cap,status,False,False,,34,11,2899,11600,11600,2899,24.921875,23.953125,23.953125,24.921875,0.96875,-0.96875,-0.96875,-0.96875
llama3.2-1b,C,useEffect,both,pair_02,pair_02_C_useEffect_alt_reactive_stable_first_both_dep_first,alt_reactive,stable_first,dep_first,status,cap,cap,status,False,True,True,37,14,2899,11600,11600,2899,26.90625,24.765625,24.765625,26.90625,2.140625,-2.140625,-2.140625,-2.140625
llama3.2-1b,C,useEffect,both,pair_02,pair_02_C_useEffect_alt_reactive_stable_first_both_alt_first,alt_reactive,stable_first,alt_first,status,cap,cap,status,False,True,False,37,14,2899,11600,11600,2899,25.953125,26.546875,26.546875,25.953125,-0.59375,0.59375,0.59375,0.59375
llama3.2-1b,C,useEffect,target_only,pair_02,pair_02_C_useEffect_alt_reactive_stable_first_target_only,alt_reactive,stable_first,,status,cap,cap,status,False,True,,35,12,2899,11600,11600,2899,23.84375,26.578125,26.578125,23.84375,-2.734375,2.734375,2.734375,2.734375
llama3.2-1b,C,useEffect,control_only,pair_02,pair_02_C_useEffect_alt_reactive_stable_first_control_only,alt_reactive,stable_first,,status,cap,cap,status,False,True,,35,12,2899,11600,11600,2899,26.671875,23.109375,23.109375,26.671875,3.5625,-3.5625,-3.5625,-3.5625
llama3.2-1b,C,useEffect,neither,pair_02,pair_02_C_useEffect_alt_reactive_stable_first_neither,alt_reactive,stable_first,,status,cap,cap,status,False,True,,34,11,2899,11600,11600,2899,24.46875,23.671875,23.671875,24.46875,0.796875,-0.796875,-0.796875,-0.796875
llama3.2-1b,C,subscribe,both,pair_02,pair_02_C_subscribe_dep_reactive_reactive_first_both_dep_first,dep_reactive,reactive_first,dep_first,status,cap,status,cap,True,True,True,47,14,2899,11600,2899,11600,25.296875,22.875,25.296875,22.875,2.421875,2.421875,2.421875,2.421875
llama3.2-1b,C,subscribe,both,pair_02,pair_02_C_subscribe_dep_reactive_reactive_first_both_alt_first,dep_reactive,reactive_first,alt_first,status,cap,status,cap,True,True,False,47,14,2899,11600,2899,11600,25.140625,24.0,25.140625,24.0,1.140625,1.140625,1.140625,1.140625
llama3.2-1b,C,subscribe,target_only,pair_02,pair_02_C_subscribe_dep_reactive_reactive_first_target_only,dep_reactive,reactive_first,,status,cap,status,cap,True,True,,45,12,2899,11600,2899,11600,24.59375,23.203125,24.59375,23.203125,1.390625,1.390625,1.390625,1.390625
llama3.2-1b,C,subscribe,control_only,pair_02,pair_02_C_subscribe_dep_reactive_reactive_first_control_only,dep_reactive,reactive_first,,status,cap,status,cap,True,True,,45,12,2899,11600,2899,11600,23.671875,23.953125,23.671875,23.953125,-0.28125,-0.28125,-0.28125,-0.28125
llama3.2-1b,C,subscribe,neither,pair_02,pair_02_C_subscribe_dep_reactive_reactive_first_neither,dep_reactive,reactive_first,,status,cap,status,cap,True,True,,44,11,2899,11600,2899,11600,23.40625,23.296875,23.40625,23.296875,0.109375,0.109375,0.109375,0.109375
llama3.2-1b,C,subscribe,both,pair_02,pair_02_C_subscribe_dep_reactive_stable_first_both_dep_first,dep_reactive,stable_first,dep_first,status,cap,status,cap,True,False,True,47,14,2899,11600,2899,11600,24.875,24.03125,24.875,24.03125,0.84375,0.84375,0.84375,0.84375
llama3.2-1b,C,subscribe,both,pair_02,pair_02_C_subscribe_dep_reactive_stable_first_both_alt_first,dep_reactive,stable_first,alt_first,status,cap,status,cap,True,False,False,47,14,2899,11600,2899,11600,24.703125,24.328125,24.703125,24.328125,0.375,0.375,0.375,0.375
llama3.2-1b,C,subscribe,target_only,pair_02,pair_02_C_subscribe_dep_reactive_stable_first_target_only,dep_reactive,stable_first,,status,cap,status,cap,True,False,,45,12,2899,11600,2899,11600,24.453125,23.0625,24.453125,23.0625,1.390625,1.390625,1.390625,1.390625
llama3.2-1b,C,subscribe,control_only,pair_02,pair_02_C_subscribe_dep_reactive_stable_first_control_only,dep_reactive,stable_first,,status,cap,status,cap,True,False,,45,12,2899,11600,2899,11600,23.828125,24.21875,23.828125,24.21875,-0.390625,-0.390625,-0.390625,-0.390625
llama3.2-1b,C,subscribe,neither,pair_02,pair_02_C_subscribe_dep_reactive_stable_first_neither,dep_reactive,stable_first,,status,cap,status,cap,True,False,,44,11,2899,11600,2899,11600,23.109375,22.75,23.109375,22.75,0.359375,0.359375,0.359375,0.359375
llama3.2-1b,C,subscribe,both,pair_02,pair_02_C_subscribe_alt_reactive_reactive_first_both_dep_first,alt_reactive,reactive_first,dep_first,status,cap,cap,status,False,False,True,48,14,2899,11600,11600,2899,25.359375,25.78125,25.78125,25.359375,-0.421875,0.421875,0.421875,0.421875
llama3.2-1b,C,subscribe,both,pair_02,pair_02_C_subscribe_alt_reactive_reactive_first_both_alt_first,alt_reactive,reactive_first,alt_first,status,cap,cap,status,False,False,False,48,14,2899,11600,11600,2899,24.546875,25.984375,25.984375,24.546875,-1.4375,1.4375,1.4375,1.4375
llama3.2-1b,C,subscribe,target_only,pair_02,pair_02_C_subscribe_alt_reactive_reactive_first_target_only,alt_reactive,reactive_first,,status,cap,cap,status,False,False,,46,12,2899,11600,11600,2899,24.640625,25.4375,25.4375,24.640625,-0.796875,0.796875,0.796875,0.796875
