model,pair_id,LD_reactive__sr=alt_reactive|do=reactive_first|bo=alt_first,LD_reactive__sr=alt_reactive|do=reactive_first|bo=dep_first,LD_reactive__sr=alt_reactive|do=stable_first|bo=alt_first,LD_reactive__sr=alt_reactive|do=stable_first|bo=dep_first,LD_reactive__sr=dep_reactive|do=reactive_first|bo=alt_first,LD_reactive__sr=dep_reactive|do=reactive_first|bo=dep_first,LD_reactive__sr=dep_reactive|do=stable_first|bo=alt_first,LD_reactive__sr=dep_reactive|do=stable_first|bo=dep_first,logit_close__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_close__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_close__sr=alt_reactive|do=stable_first|bo=alt_first,logit_close__sr=alt_reactive|do=stable_first|bo=dep_first,logit_close__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_close__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_close__sr=dep_reactive|do=stable_first|bo=alt_first,logit_close__sr=dep_reactive|do=stable_first|bo=dep_first,logit_reactive__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_reactive__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_reactive__sr=alt_reactive|do=stable_first|bo=alt_first,logit_reactive__sr=alt_reactive|do=stable_first|bo=dep_first,logit_reactive__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_reactive__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_reactive__sr=dep_reactive|do=stable_first|bo=alt_first,logit_reactive__sr=dep_reactive|do=stable_first|bo=dep_first,logit_stable__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_stable__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_stable__sr=alt_reactive|do=stable_first|bo=alt_first,logit_stable__sr=alt_reactive|do=stable_first|bo=dep_first,logit_stable__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_stable__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_stable__sr=dep_reactive|do=stable_first|bo=alt_first,logit_stable__sr=dep_reactive|do=stable_first|bo=dep_first,n_cells,mean_LD_reactive_pair,effect_state_role,effect_decl_order,effect_body_order,effect_reactive_body_pos
gemma3-1b-pt,pair_11,0.27330780029296875,-1.6117897033691406,-0.7992877960205078,-2.2897472381591797,1.0744819641113281,2.6884994506835938,0.8952217102050781,2.2203407287597656,7.962072372436523,8.023313522338867,7.919649600982666,8.070286750793457,7.813755512237549,8.000171661376953,8.131099700927734,8.334789276123047,20.887042999267578,20.17597007751465,20.998817443847656,20.214458465576172,21.70717430114746,22.386533737182617,21.74066734313965,22.509414672851562,20.61373519897461,21.78775978088379,21.798105239868164,22.50420570373535,20.632692337036133,19.698034286499023,20.84544563293457,20.289073944091797,8,0.3063783645629883,2.8265151977539062,0.5994930267333984,-0.10910511016845703,1.5786733627319336
gemma3-1b-pt,pair_12,1.3951492309570312,-1.9345016479492188,0.4907341003417969,-2.504304885864258,-0.14122581481933594,1.561727523803711,-0.61029052734375,1.3189315795898438,9.095221519470215,9.494650840759277,9.271036148071289,9.826821327209473,8.89065170288086,8.998663902282715,8.670527458190918,8.852079391479492,19.75748634338379,18.46900177001953,19.482757568359375,18.097206115722656,19.708555221557617,20.58914566040039,19.323265075683594,20.575462341308594,18.362337112426758,20.40350341796875,18.992023468017578,20.601511001586914,19.849781036376953,19.02741813659668,19.933555603027344,19.25653076171875,8,-0.05297255516052246,1.1705164909362793,0.5465197563171387,-0.673128604888916,2.4892163276672363
gemma3-1b-pt,pair_13,2.387979507446289,-0.5133476257324219,1.386514663696289,-0.9800796508789062,-0.2668037414550781,3.1328296661376953,-1.2662086486816406,1.8027172088623047,7.979772090911865,8.109060287475586,7.981472015380859,8.073554992675781,7.909724712371826,7.959291934967041,7.901815414428711,7.900522232055664,20.802326202392578,19.80916404724121,20.738107681274414,19.60707664489746,19.62644386291504,21.01717185974121,18.898334503173828,20.656015396118164,18.41434669494629,20.322511672973633,19.351593017578125,20.587156295776367,19.893247604370117,17.884342193603516,20.16454315185547,18.85329818725586,8,0.7104501724243164,0.2803668975830078,0.9494285583496094,0.3001594543457031,2.9341201782226562
gemma3-1b-pt,pair_14,-0.7577610015869141,-2.924337387084961,-0.7149810791015625,-3.1950435638427734,0.49156951904296875,2.4072799682617188,0.2516517639160156,2.267017364501953,7.053565502166748,7.212658405303955,7.028452396392822,7.300599098205566,6.63941764831543,6.840789794921875,6.687225341796875,6.802611351013184,19.978403091430664,18.72831153869629,20.195167541503906,18.636844635009766,20.604236602783203,21.52956199645996,20.525665283203125,21.51123046875,20.736164093017578,21.65264892578125,20.91014862060547,21.83188819885254,20.112667083740234,19.122282028198242,20.27401351928711,19.244213104248047,8,-0.27182555198669434,3.252410411834717,0.15202665328979492,-0.17889070510864258,2.1444287300109863
gemma3-1b-pt,pair_15,0.8858051300048828,-2.283802032470703,0.4696636199951172,-1.8612384796142578,0.6046276092529297,1.916646957397461,0.11622810363769531,2.6681079864501953,8.063970565795898,8.272360801696777,8.023995399475098,8.301419258117676,7.786643028259277,7.774388790130615,7.785342216491699,7.88178825378418,21.394710540771484,19.661487579345703,21.36319351196289,20.054800033569336,21.648757934570312,22.11176109313965,21.352031707763672,22.411102294921875,20.5089054107666,21.945289611816406,20.893529891967773,21.916038513183594,21.044130325317383,20.195114135742188,21.235803604125977,19.74299430847168,8,0.31450486183166504,2.0237956047058105,-0.06737089157104492,-0.4091525077819824,2.341102123260498
gemma3-1b-pt,pair_16,2.740602493286133,-1.462045669555664,1.3117942810058594,-1.3773841857910156,0.11907958984375,3.7483959197998047,0.44110679626464844,3.8849849700927734,8.090989112854004,8.112571716308594,8.401429176330566,8.453924179077148,8.227287292480469,8.317418098449707,8.314702987670898,8.426656723022461,21.171072006225586,19.243587493896484,21.352069854736328,19.65534019470215,20.481185913085938,21.437795639038086,20.700603485107422,21.783117294311523,18.430469512939453,20.70563316345215,20.04027557373047,21.032724380493164,20.362106323242188,17.68939971923828,20.259496688842773,17.89813232421875,8,1.1758167743682861,1.745150089263916,0.22138261795043945,0.04534196853637695,3.491255283355713
gemma3-1b-pt,pair_17,2.0429744720458984,-0.08840370178222656,1.0022621154785156,-0.5374526977539062,-0.44632720947265625,1.195627212524414,-0.7312908172607422,1.1488323211669922,7.512831211090088,7.59193229675293,7.668637752532959,7.732015609741211,7.41107177734375,7.534464359283447,7.337671279907227,7.494677543640137,21.06484603881836,20.408323287963867,20.83778190612793,20.105220794677734,19.916912078857422,20.76236343383789,19.763837814331055,21.02780532836914,19.02187156677246,20.496726989746094,19.835519790649414,20.64267349243164,20.363239288330078,19.566736221313477,20.495128631591797,19.87897300720215,8,0.44827771186828613,-0.31313467025756836,0.4553799629211426,-0.03725385665893555,1.798292636871338
gemma3-1b-pt,pair_18,2.4095287322998047,-0.5071086883544922,1.5233078002929688,-1.0897178649902344,-1.717214584350586,0.8450050354003906,-2.1595020294189453,0.3189983367919922,7.673089981079102,7.676059246063232,7.6950764656066895,7.863377571105957,7.3356404304504395,7.355599880218506,7.299805641174316,7.410899639129639,20.98148536682129,20.005338668823242,21.011850357055664,19.80375862121582,19.236740112304688,20.52151870727539,18.90372657775879,20.35123062133789,18.571956634521484,20.512447357177734,19.488542556762695,20.893476486206055,20.953954696655273,19.676513671875,21.063228607177734,20.0322322845459,8,-0.047087907791137695,-1.2621808052062988,0.609281063079834,-0.12223577499389648,2.6425957679748535
gemma3-1b-pt,pair_19,1.9754467010498047,-0.3409156799316406,1.5873985290527344,-0.6343421936035156,-0.9501781463623047,0.6959133148193359,-1.0793228149414062,0.8162918090820312,8.289077758789062,8.561134338378906,8.381190299987793,8.837786674499512,7.97266960144043,8.197454452514648,7.878118515014648,8.134069442749023,19.5909481048584,18.889528274536133,19.53746223449707,18.66504669189453,18.80467414855957,19.623868942260742,18.322513580322266,19.554475784301758,17.615501403808594,19.230443954467773,17.950063705444336,19.299388885498047,19.754852294921875,18.927955627441406,19.401836395263672,18.738183975219727,8,0.2587864398956299,-0.7762207984924316,0.1725602149963379,-0.2490992546081543,2.0199522972106934
gemma3-1b-pt,pair_20,0.7107658386230469,-2.476011276245117,-0.031030654907226562,-2.572826385498047,1.2728996276855469,3.1351375579833984,0.930023193359375,2.868478775024414,7.531317710876465,7.613583564758301,7.736157417297363,7.914388656616211,7.126529693603516,7.162224292755127,7.1114888191223145,7.203706741333008,20.087120056152344,18.731155395507812,20.05234718322754,18.75855827331543,20.45701026916504,21.184200286865234,20.21588706970215,21.38372039794922,19.376354217529297,21.20716667175293,20.083377838134766,21.331384658813477,19.184110641479492,18.049062728881836,19.285863876342773,18.515241622924805,8,0.47967958450317383,3.1439104080200195,0.36203670501708984,-0.48196983337402344,2.3823165893554688
