model,condition,sample_id,LD_copy_clean,LD_copy_corrupted,LD_inclusion_clean,LD_inclusion_corrupted,copy_error_clean,copy_error_corrupted,logit_alt_clean,logit_alt_corrupted,logit_close_clean,logit_close_corrupted,logit_dep_clean,logit_dep_corrupted,gap_copy,gap_inclusion
gemma3-1b-pt,alias_ctrl,sub_26,2.7441959381103516,0.021089553833007812,13.406391620635986,12.208629131317139,10.662195682525635,12.18753957748413,17.487041473388672,19.013530731201172,6.824845790863037,6.825991153717041,20.231237411499023,19.03462028503418,2.7231063842773438,1.1977624893188477
gemma3-1b-pt,alias_ctrl,sub_27,3.696331024169922,-1.1927757263183594,13.317175388336182,12.10074520111084,9.62084436416626,13.2935209274292,16.574779510498047,19.774982452392578,6.953935146331787,6.481461524963379,20.27111053466797,18.58220672607422,4.889106750488281,1.2164301872253418
gemma3-1b-pt,alias_ctrl,sub_28,1.9722118377685547,-1.0391769409179688,13.117912292480469,12.111700057983398,11.145700454711914,13.150876998901367,17.195785522460938,19.249147415161133,6.050085067749023,6.098270416259766,19.167997360229492,18.209970474243164,3.0113887786865234,1.0062122344970703
gemma3-1b-pt,alias_ctrl,sub_29,1.7522201538085938,-1.1074542999267578,12.54634952545166,11.514225006103516,10.794129371643066,12.621679306030273,17.328548431396484,18.953866958618164,6.534419059753418,6.332187652587891,19.080768585205078,17.846412658691406,2.8596744537353516,1.0321245193481445
gemma3-1b-pt,alias_ctrl,sub_30,4.265494346618652,-3.0772838592529297,13.024127006530762,10.110726833343506,8.75863265991211,13.188010692596436,15.969391822814941,19.62547492980957,7.210759162902832,6.437464237213135,20.234886169433594,16.54819107055664,7.342778205871582,2.913400173187256
gemma3-1b-pt,alias_ctrl,sub_31,2.8748836517333984,-1.2161273956298828,13.42024040222168,12.025006294250488,10.545356750488281,13.241133689880371,16.32489585876465,19.058624267578125,5.779539108276367,5.817490577697754,19.199779510498047,17.842496871948242,4.091011047363281,1.3952341079711914
gemma3-1b-pt,alias_ctrl,sub_32,2.5183372497558594,-0.6842784881591797,13.509068012237549,13.002590656280518,10.99073076248169,13.686869144439697,17.744976043701172,19.929378509521484,6.754245281219482,6.242509365081787,20.26331329345703,19.245100021362305,3.202615737915039,0.5064773559570312
gemma3-1b-pt,alias_ctrl,sub_33,2.113616943359375,-0.7116546630859375,12.076532363891602,11.382909297943115,9.962915420532227,12.094563961029053,16.902456283569336,19.111984252929688,6.939540863037109,7.017420291900635,19.01607322692871,18.40032958984375,2.8252716064453125,0.6936230659484863
gemma3-1b-pt,alias_ctrl,sub_34,3.8621578216552734,-0.33788108825683594,12.5320143699646,10.777612209320068,8.669856548309326,11.115493297576904,16.34028434753418,18.568256378173828,7.6704277992248535,7.452763080596924,20.202442169189453,18.230375289916992,4.200038909912109,1.7544021606445312
gemma3-1b-pt,alias_ctrl,sub_35,3.0935192108154297,-1.1127300262451172,12.81877326965332,12.352794647216797,9.72525405883789,13.465524673461914,16.681856155395508,19.88153839111328,6.956602096557617,6.416013717651367,19.775375366210938,18.768808364868164,4.206249237060547,0.46597862243652344
gemma3-1b-pt,alias_ctrl,sub_36,2.5558700561523438,-0.04383277893066406,12.717198848724365,12.330867767333984,10.161328792572021,12.374700546264648,17.51923370361328,19.423795700073242,7.35790491104126,7.049095153808594,20.075103759765625,19.379962921142578,2.599702835083008,0.38633108139038086
gemma3-1b-pt,alias_ctrl,sub_37,2.5531787872314453,-1.3833770751953125,13.26294469833374,11.654632568359375,10.709765911102295,13.038009643554688,17.053075790405273,19.295753479003906,6.3433098793029785,6.257743835449219,19.60625457763672,17.912376403808594,3.936555862426758,1.6083121299743652
