model,condition,sample_id,run_type,dep_str,alt_str,n_tokens,dep_id,alt_id,close_id,logit_dep,logit_alt,logit_close,LD_copy,LD_inclusion,copy_error
llama3.2-1b,useLayoutEffect,sub_12,clean,name,len,43,609,2963,60,25.704856872558594,22.034460067749023,12.657950401306152,3.6703968048095703,13.046906471252441,9.376509666442871
llama3.2-1b,useLayoutEffect,sub_12,corrupted,name,len,43,609,2963,60,22.647340774536133,24.890274047851562,13.229557991027832,-2.2429332733154297,9.4177827835083,11.66071605682373
llama3.2-1b,alias,sub_12,clean,name,len,48,609,2963,60,25.633499145507812,22.68525505065918,12.184284210205078,2.948244094848633,13.449214935302734,10.500970840454102
llama3.2-1b,alias,sub_12,corrupted,name,len,48,609,2963,60,22.610383987426758,25.10894775390625,12.471521377563477,-2.498563766479492,10.138862609863281,12.637426376342773
llama3.2-1b,alias_ctrl,sub_12,clean,name,len,59,609,2963,60,24.715269088745117,22.5157413482666,11.700411796569824,2.1995277404785156,13.014857292175293,10.815329551696777
llama3.2-1b,alias_ctrl,sub_12,corrupted,name,len,59,609,2963,60,22.363243103027344,24.120141983032227,11.887266159057617,-1.7568988800048828,10.475976943969727,12.23287582397461
llama3.2-1b,subscribe,sub_12,clean,name,len,52,609,2963,60,24.528152465820312,22.796714782714844,11.827863693237305,1.7314376831054688,12.700288772583008,10.968851089477539
llama3.2-1b,subscribe,sub_12,corrupted,name,len,52,609,2963,60,23.257221221923828,23.78272247314453,11.943490982055664,-0.5255012512207031,11.313730239868164,11.839231491088867
llama3.2-1b,useEffect,sub_13,clean,count,val,42,1868,838,60,27.474138259887695,23.184499740600586,12.244006156921387,4.289638519287109,15.230132102966309,10.9404935836792
llama3.2-1b,useEffect,sub_13,corrupted,count,val,42,1868,838,60,23.613788604736328,26.72405433654785,13.938425064086914,-3.1102657318115234,9.675363540649414,12.785629272460938
llama3.2-1b,useLayoutEffect,sub_13,clean,count,val,44,1868,838,60,27.22865867614746,23.223751068115234,12.83259391784668,4.004907608032227,14.396064758300781,10.391157150268555
llama3.2-1b,useLayoutEffect,sub_13,corrupted,count,val,44,1868,838,60,23.552684783935547,26.39873695373535,14.212259292602539,-2.8460521697998047,9.340425491333008,12.186477661132812
llama3.2-1b,alias,sub_13,clean,count,val,49,1868,838,60,26.285228729248047,22.846738815307617,11.793304443359375,3.4384899139404297,14.491924285888672,11.053434371948242
llama3.2-1b,alias,sub_13,corrupted,count,val,49,1868,838,60,23.22651481628418,26.10198211669922,13.154891014099121,-2.875467300415039,10.071623802185059,12.947091102600098
llama3.2-1b,alias_ctrl,sub_13,clean,count,val,60,1868,838,60,25.783872604370117,23.11485481262207,11.479652404785156,2.669017791748047,14.304220199584961,11.635202407836914
llama3.2-1b,alias_ctrl,sub_13,corrupted,count,val,60,1868,838,60,23.921133041381836,25.46711540222168,12.427748680114746,-1.5459823608398438,11.49338436126709,13.039366722106934
llama3.2-1b,subscribe,sub_13,clean,count,val,53,1868,838,60,26.08859634399414,23.735525131225586,11.618782997131348,2.3530712127685547,14.469813346862793,12.116742134094238
llama3.2-1b,subscribe,sub_13,corrupted,count,val,53,1868,838,60,24.842185974121094,25.51262664794922,12.357024192810059,-0.670440673828125,12.485161781311035,13.15560245513916
llama3.2-1b,useEffect,sub_14,clean,mode,ref,40,8684,1116,60,27.10207748413086,23.621793746948242,13.304190635681152,3.480283737182617,13.797886848449707,10.31760311126709
llama3.2-1b,useEffect,sub_14,corrupted,mode,ref,40,8684,1116,60,24.48293113708496,26.548757553100586,13.560039520263672,-2.065826416015625,10.922891616821289,12.988718032836914
llama3.2-1b,useLayoutEffect,sub_14,clean,mode,ref,42,8684,1116,60,26.952674865722656,23.846410751342773,13.688901901245117,3.106264114379883,13.263772964477539,10.157508850097656
llama3.2-1b,useLayoutEffect,sub_14,corrupted,mode,ref,42,8684,1116,60,24.512859344482422,26.32940101623535,13.938846588134766,-1.8165416717529297,10.574012756347656,12.390554428100586
llama3.2-1b,alias,sub_14,clean,mode,ref,47,8684,1116,60,25.86190414428711,23.231094360351562,12.715980529785156,2.630809783935547,13.145923614501953,10.515113830566406
llama3.2-1b,alias,sub_14,corrupted,mode,ref,47,8684,1116,60,24.054452896118164,25.492582321166992,12.857004165649414,-1.4381294250488281,11.19744873046875,12.635578155517578
llama3.2-1b,alias_ctrl,sub_14,clean,mode,ref,58,8684,1116,60,25.600831985473633,23.040821075439453,12.549504280090332,2.5600109100341797,13.0513277053833,10.491316795349121
llama3.2-1b,alias_ctrl,sub_14,corrupted,mode,ref,58,8684,1116,60,24.46031951904297,24.535451889038086,12.429800987243652,-0.07513236999511719,12.030518531799316,12.105650901794434
llama3.2-1b,subscribe,sub_14,clean,mode,ref,51,8684,1116,60,25.40989875793457,23.00001335144043,12.502431869506836,2.4098854064941406,12.907466888427734,10.497581481933594
llama3.2-1b,subscribe,sub_14,corrupted,mode,ref,51,8684,1116,60,24.466644287109375,23.775386810302734,12.3908052444458,0.6912574768066406,12.075839042663574,11.384581565856934
llama3.2-1b,useEffect,sub_15,clean,page,min,40,2964,1083,60,26.590618133544922,20.889270782470703,11.914522171020508,5.701347351074219,14.676095962524414,8.974748611450195
llama3.2-1b,useEffect,sub_15,corrupted,page,min,40,2964,1083,60,24.13277816772461,25.50611686706543,12.771768569946289,-1.3733386993408203,11.36100959777832,12.73434829711914
llama3.2-1b,useLayoutEffect,sub_15,clean,page,min,42,2964,1083,60,26.396467208862305,21.070039749145508,12.233158111572266,5.326427459716797,14.163309097290039,8.836881637573242
llama3.2-1b,useLayoutEffect,sub_15,corrupted,page,min,42,2964,1083,60,24.054485321044922,25.16255760192871,12.851285934448242,-1.108072280883789,11.20319938659668,12.311271667480469
llama3.2-1b,alias,sub_15,clean,page,min,47,2964,1083,60,25.64699363708496,22.31438636779785,11.711390495300293,3.3326072692871094,13.935603141784668,10.602995872497559
